Autor,CoAutores,Publicacion,Revista,Paginas,Anho
José Eduardo Ochoa Luna,"Kate Revoredo, Fabio Gagliardi Cozman",Learning Sentences and Assessments in Probabilistic Description Logics,URSW,85-96,2010
César Castelo Fernández,,Improving de Accuracy of the Optimum-Path Forest Supervised Classifier for Large Datasets ,"15th Iberoamerican Congress on Pattern Recognition - CIARP, University of São Paulo, São Paulo, SP, Brazil",,2010
Alex Jesus Cuadros Vargas,"Mario A. S. Lizier, Rosane Minghim, Luis Gustavo Nonato",Generating Segmented Quality Meshes from Images,Journal of Mathematical Imaging and Vision 33(1),11-23,2009
Alex Jesus Cuadros Vargas,"Mario A. S. Lizier, David Correa Martins Jr., Roberto Marcondes Cesar Junior, Luis Gustavo Nonato",Generating segmented meshes from textured color images,Visual Communication and Image Representation 20(3),190-203,2009
Alex Jesus Cuadros Vargas,"M. Lizier, R. Minghim, L. G. Nonato",Generating segmented quality meshes from non-processed images,Journal of Mathematical Imaging and Vision,,2009
Yván Túpac Valdivia,"Talavera, A., Silva, C., Vellasco, M. M. B. R.",Controle Preditivo com Reinforcement Learning para Produção de Óleo em um Reservatório,IX Simpósio Brasileiro de Automação Inteligente,,2009
Raquel Patiño Escarcina,José Alfredo Ferreira Costa,A New Segmentation Approach in Structured Self-Organizing Maps for Image Retrieval,IDEAL,441-448,2009
Cristian Jose Lopez Del Alamo,Meza-Lovon G.,Descubrimiento basado en clustering de la influencia de rasgos psicológicos sobre el desempeño académico,Jornadas Chilenas de Computación,,2009
José Eduardo Ochoa Luna,"Cassio Polpo de Campos, Fabio Gagliardi Cozman",Assembling a consistent set of sentences in relational probabilistic logic with stochastic independence,J. Applied Logic 7(2),137-154,2009
José Eduardo Ochoa Luna,Fabio Gagliardi Cozman,An Algorithm for Learning with Probabilistic Description Logics,URSW,63-74,2009
Gina Meza Lovón,Lopez Del Alamo C.,Descubrimiento basado en clustering de la influencia de rasgos psicológicos sobre el desempeño académico,Jornadas Chilenas de Computación,,2009
Yván Túpac Valdivia,"Almeida, L. F., Pacheco, M., Vellasco, M, Lazo, J.",Sistema de apoio à decisão para uso de poços inteligentes no desenvolvimento de reservatórios de petróleo,"Boletim técnico da produção de petróleo. , v.3",177-222,2008
Yván Túpac Valdivia,"de Miranda, C. V. C., Lazo, J.",Modelos de Redes Neuronales para Previsión de Datos de Alta Frecuencia de Carga Eléctrica,"XV Congreso Internacional de Ingeniería Eléctrica, Electrónica y de Sistemas, Trujillo, Peru",,2008
Yván Túpac Valdivia,"Almeida, L. F., Lazo, J., Pacheco, M. A. C., Vellasco, M. M. B. R.",Decision Support System for Economic Analysis of E&P Projects under Uncertainties,"Intelligent Energy, Amsterdam",,2008
Dennis Barrios Aranibar,"Goncalves, Luis M. G.",Aprendizado por Reforço com Valores de Influência para Sistemas Multi-Agentes,"IV Workshop on MSc Dissertation and PhD Thesis in Artificial Intelligence(WTDIA), Salvador, Brasil",,2008
Dennis Barrios Aranibar,"Silva, A. F., Silva, A., Goncalves, L. M.,Guerreiro, A. M. G.",Utilização da Teoria de Vygotsky em Robótica Educativa,"IX Congreso Iberoamericano De Informática Educativa RIBIE, Caracas, Venezuela",,2008
Raquel Patiño Escarcina,José Alfredo Ferreira Costa,The Semantic Clustering of Images and Its Relation with Low Level Color Features,ICSC,74-79,2008
Raquel Patiño Escarcina,"Barrios-Aranibar, D., Silva I. A., Luz M. S., Bedregal, B. C.",Sistema de Custos para o Centro de Diagnóstico por Imagens do Hospital Universitário Onofre Lopes,"XV Congresso Brasileiro de Custos. Custos e Competitividade: O Desafio da Década, Curitiba, Paraná, Brasil",,2008
Raquel Patiño Escarcina,"Barrios-Aranibar, D., Silva I. A., Luz M. S., Bedregal, B. C.",Ponto de Equilíbrio Difuso para Grupos de Procedimentos do CDI-HUOL,"CNMAC, Congresso Nacional de Matemática Aplicada e Computacional",,2008
Javier Tejada Cárcamo,"A. Gelbukh, H. Calvo, Kazuo Hara",How to improve the semantic quality of a Word Space Model using different classes of information,TSD,,2008
